P06,publication,2025,"Bleotu, A. C., & Levina, E. (2025). The role of animacy and number in anaphoric personal pronoun subjects: Experimental insights from child and adult Romanian. *Proceedings of the Conference Referential Expressions in Discourse (RED) 2025*.","@inproceedings{Bleotu_Levina_2025, author={Bleotu, A. C. and Levina, E.}, title={The role of animacy and number in anaphoric personal pronoun subjects: Experimental insights from child and adult Romanian}, year={2025}, booktitle={Proceedings of the conference Referential Expressions in Discourse (RED) 2025} }"
P10,talk,2025,"Büring, D. (2025). *A New Semantics for Attitude Reports*. Sinn und Bedeutung 30, Frankfurt.","@misc{Büring_2025, author={Büring, D.}, title={A New Semantics for Attitude Reports}, year={2025}, eventtitle={Sinn und Bedeutung 30}, venue={Frankfurt} }"
P10,publication,2026,"Büring, D. (2026). Double Access and the Semantics of Attitude and Speech Reports. *Proceedings of Sinn Und Bedeutung 30 (SuB 30)*.","@inproceedings{Büring_2026, author={Büring, D.}, title={Double Access and the Semantics of Attitude and Speech Reports}, year={2026}, booktitle={Proceedings of Sinn und Bedeutung 30 (SuB 30)} }"
P10,talk,2025,"Büring, D., & Loitzl, M. (2025). *Complex Temporal Modifiers in German*. RED, Graz.","@misc{Büring_Loitzl_2025, author={Büring, D. and Loitzl, M.}, title={Complex Temporal Modifiers in German}, year={2025}, eventtitle={RED}, venue={Graz} }"
P10,publication,2026,"Büring, D., & Loitzl, M. (2026). Complex Temporal Modifiers in German. *Proceedings of the Conference Referential Expressions in Discourse (RED) 2025*.","@inproceedings{Büring_Loitzl_2026, author={Büring, D. and Loitzl, M.}, title={Complex Temporal Modifiers in German}, year={2026}, place={Graz}, booktitle={Proceedings of the conference Referential Expressions in Discourse (RED) 2025} }"
P10,talk,2025,"Büring, D., & Schindler, J. (2025). Full-frame effects with temporal quantifers. In *Workshop “Current Issues in Syntax, Semantics and Pragmatics”*. 49. ÖLT, Klagenfurt.","@misc{Büring_Schindler_2025, author={Büring, D. and Schindler, J.}, title={Full-frame effects with temporal quantifers}, year={2025}, eventtitle={49. ÖLT}, venue={Klagenfurt}, journal={Workshop “Current Issues in Syntax, Semantics and Pragmatics”} }"
P10,talk,2026,"Butschety, M., & Loitzl, M. (2026). *Did you have already expectations? On the German adverbial schon “already” and (un)expectedness*. SinFonIJA 19, Graz.","@misc{Butschety_Loitzl_2026, author={Butschety, M. and Loitzl, M.}, title={Did you have already expectations? On the German adverbial schon “already” and (un)expectedness}, year={2026}, eventtitle={SinFonIJA 19}, venue={Graz} }"
P09,talk,2026,"Da Cunha, Y. (2026). *Gender prominence across text genres: a corpus study on English, French and Spanish*. 4th International Conference Prominence in Language 2026 (ICPL IV), Köln.","@misc{Da Cunha_2026, author={Da Cunha, Y.}, title={Gender prominence across text genres: a corpus study on English, French and Spanish}, year={2026}, eventtitle={4th International Conference Prominence in Language 2026 (ICPL IV)}, venue={Köln} }"
P09,publication,2025,"Da Cunha, Y., & Heidinger, S. (2025). A competition puzzle: Strong, null and demonstrative pronouns in French PPs. *Proceedings of the Conference Referential Expressions in Discourse (RED) 2025*.","@inproceedings{Da Cunha_Heidinger_2025, author={Da Cunha, Y. and Heidinger, S.}, title={A competition puzzle: Strong, null and demonstrative pronouns in French PPs}, year={2025}, place={University of Graz}, booktitle={Proceedings of the conference Referential Expressions in Discourse (RED) 2025} }"
P09,talk,2025,"Da Cunha, Y., & Heidinger, S. (2025). *Competition effects on animacy restrictions in French and Spanish PPs* [Invited talk]. Linglunch, Université Paris Cité.","@misc{Da Cunha_Heidinger_2025, author={Da Cunha, Y. and Heidinger, S.}, title={Competition effects on animacy restrictions in French and Spanish PPs}, year={2025}, month={Feb}, eventtitle={Linglunch}, venue={Université Paris Cité} }"
